t,winds,SNII,tot_SNII,tot_winds,AGB,tot_AGB
556960429.7720777,1.2724253549803553e-13,0.0,0.13011751416290182,0.03360290683058203,8.443604380012677e-11,0.1323559184520899
565976727.0266606,1.2341988841339127e-13,0.0,0.13011751416290182,0.0336040368540443,8.324836152797787e-11,0.133111864673788
575138983.6920673,1.2140404531235607e-13,0.0,0.13011751416290182,0.03360515842390361,8.207738526329178e-11,0.1338692431365388
584449562.6173753,1.0501820889026265e-13,0.0,0.13011751416290182,0.03360621248503771,8.09228800184513e-11,0.13462805655391472
593910864.9023947,1.0524469579472455e-13,0.0,0.13011751416290182,0.033607207165487984,7.978461411108722e-11,0.13538830764462848
603525330.5169023,1.0467828118852006e-13,0.0,0.13011751416290182,0.033608216314109936,7.866235911775468e-11,0.13614999913254425
613295438.9298781,1.0425656392181176e-13,0.0,0.13011751416290182,0.03360923697215392,7.755588982804503e-11,0.1369131337466871
623223709.7489256,1.0405792015180467e-13,0.0,0.13011751416290182,0.033610271073460624,7.646498419929351e-11,0.137677714221252
633312703.3700697,1.0091858355434287e-13,0.0,0.13011751416290182,0.03361130507677981,7.538942331219177e-11,0.13844374329561498
643565021.638036,9.77382244390613e-14,0.0,0.13011751416290182,0.033612323423190635,7.432899132666969e-11,0.13921122371434147
653983308.5172559,8.770851581433717e-14,0.0,0.13011751416290182,0.033613289441861025,7.328347543873679e-11,0.13998015822719712
664570250.7737107,8.604387522617894e-14,0.0,0.13011751416290182,0.033614209195126456,7.225266583774202e-11,0.14075054958915778
675328578.6678108,8.409458591195639e-14,0.0,0.13011751416290182,0.03361512439780261,7.123635566412587e-11,0.14152240056041812
686261066.6585209,8.282245873564514e-14,0.0,0.13011751416290182,0.03361603680709564,7.023434096820329e-11,0.14229571390640328
697370534.118841,8.190526766769081e-14,0.0,0.13011751416290182,0.03361695182575379,6.924642066886234e-11,0.1430704923977771
708659846.0629154,8.098485054643177e-14,0.0,0.13011751416290182,0.03361787128443235,6.827239651357676e-11,0.14384673881045346
720131913.8848671,8.032726825127709e-14,0.0,0.13011751416290182,0.033618796576216026,6.731207303835333e-11,0.144624455925605
731789696.1096349,7.887037810702879e-14,0.0,0.13011751416290182,0.033619724521962,6.83919250806359e-11,0.14541545975415573
743282762.6009512,7.394434017570553e-14,0.0,0.13011751416290182,0.033620602676821036,6.807632480701037e-11,0.14619967908911188
754845456.9203006,7.347358946828038e-14,0.0,0.13011751416290182,0.033621454951049866,6.712415576698047e-11,0.14698132000346498
766588023.4318385,7.265044635651214e-14,0.0,0.13011751416290182,0.03362231288665467,6.618530451231357e-11,0.1477640176054384
778513260.2727948,7.140186657181192e-14,0.0,0.13011751416290182,0.033623171815629245,6.525958476994938e-11,0.1485477733235505
790624009.1089407,7.022206096486906e-14,0.0,0.13011751416290182,0.03362402940153704,6.434681287224787e-11,0.14933258858825166
802923155.8117086,6.92392404420153e-14,0.0,0.13011751416290182,0.03362488702903972,6.344680772045976e-11,0.15011846483192545
815413631.1458781,6.825956692157914e-14,0.0,0.13011751416290182,0.03362574574177065,6.228185648968069e-11,0.15090367022148288
828154840.8597372,6.564973234937153e-14,0.0,0.13011751416290182,0.033626598825002976,5.7363611711665415e-11,0.15166588422231597
842005308.3045204,6.249535548264255e-14,0.0,0.13011751416290182,0.03362748625968659,5.648208257021854e-11,0.15245429226350596
856087417.7550836,6.202085767569091e-14,0.0,0.13011751416290182,0.033628362985157624,5.5614100233125156e-11,0.15324356762111946
870405043.3058754,5.990559367185929e-14,0.0,0.13011751416290182,0.03362923583379519,5.475945652139983e-11,0.15403371124927964
884962123.843574,5.863930584770547e-14,0.0,0.13011751416290182,0.03363009866762001,5.391794645509761e-11,0.15482472410315803
899762664.130743,5.767393432847244e-14,0.0,0.13011751416290182,0.03363095941701859,5.308936820436225e-11,0.1556166071389776
914810735.9075545,5.699078832674683e-14,0.0,0.13011751416290182,0.03363182215850698,5.227352304088571e-11,0.15640936131401303
930110479.0119586,5.608577747750278e-14,0.0,0.13011751416290182,0.03363268717971094,5.097378213360961e-11,0.15719918993670892
945815322.1614174,5.2664360645033006e-14,0.0,0.13011751416290182,0.03363354113164179,3.699748034479683e-11,0.15788997737615054
967356152.5501726,5.047687739449703e-14,0.0,0.13011751416290182,0.03363465200559914,3.582203350648887e-11,0.15867427377458163
989387572.7644055,5.013791636579726e-14,0.0,0.13011751416290182,0.03363576034899969,3.4683931786183e-11,0.15945094704906812
1011920755.9284935,0.0,0.0,0.13011751416290182,0.033636325232426156,3.358198869227197e-11,0.16022007129407118
1034967129.6333557,0.0,0.0,0.13011751416290182,0.033636325232426156,3.251505542912598e-11,0.16098171988387544
1058538381.7319341,0.0,0.0,0.13011751416290182,0.033636325232426156,3.148201969951553e-11,0.16173596547958988
1082646466.2666266,0.0,0.0,0.13011751416290182,0.033636325232426156,3.048180454500748e-11,0.16248288003607977
1107303609.531699,0.0,0.0,0.13011751416290182,0.033636325232426156,2.951336722320471e-11,0.16322253480883048
1132522316.2738044,0.0,0.0,0.13011751416290182,0.033636325232426156,3.719296994692454e-11,0.16406365858629723
1152402412.0179272,0.0,0.0,0.13011751416290182,0.033636325232426156,4.391221972198632e-11,0.16486984805427882
1169213734.9790573,0.0,0.0,0.13011751416290182,0.033636325232426156,4.329018815451698e-11,0.16560284197517885
1186270302.636615,0.0,0.0,0.13011751416290182,0.033636325232426156,4.2676967876322407e-11,0.16633599428176277
1203575692.6365328,0.0,0.0,0.13011751416290182,0.033636325232426156,4.207243407248588e-11,0.16706930500825473
1221133534.8156743,0.0,0.0,0.13011751416290182,0.033636325232426156,4.1476463696137085e-11,0.1678027741888861
1238947511.9632103,0.0,0.0,0.13011751416290182,0.033636325232426156,4.088893544341416e-11,0.16853640185789592
1257021360.5930746,0.0,0.0,0.13011751416290182,0.033636325232426156,4.030972972876395e-11,0.16927018804953042
1275358871.7277133,0.0,0.0,0.13011751416290182,0.033636325232426156,3.973872866057643e-11,0.17000413279804302
1293963891.6932716,0.0,0.0,0.13011751416290182,0.033636325232426156,7.529304773495288e-11,0.17107421704629924
1303784289.2608533,0.0,0.0,0.13011751416290182,0.033636325232426156,8.829147843806953e-11,0.17187744958776102
1312158468.58747,0.0,0.0,0.13011751416290182,0.033636325232426156,8.772156200969675e-11,0.17261443197002735
1320586435.0934377,0.0,0.0,0.13011751416290182,0.033636325232426156,8.715532435921984e-11,0.17335136024051992
1329068534.2526832,0.0,0.0,0.13011751416290182,0.033636325232426156,8.659274174028976e-11,0.1740882344032115
1337605113.7581108,0.0,0.0,0.13011751416290182,0.033636325232426156,8.603379055990335e-11,0.17482505446207494
1346196523.535849,0.0,0.0,0.13011751416290182,0.033636325232426156,8.547844737731793e-11,0.17556182042108276
1354843115.7595944,0.0,0.0,0.13011751416290182,0.033636325232426156,8.492668890310195e-11,0.17629853228420703
1363545244.8650484,0.0,0.0,0.13011751416290182,0.033636325232426156,8.437849199820782e-11,0.17703519005541973
1372303267.5644445,0.0,0.0,0.13011751416290182,0.033636325232426156,6.02142303514566e-11,0.17766836322767265
