time,H,He,C,N,O,Ne,Mg,Si,Fe
3256546.017320787,0.022788817065607495,0.009110081763448578,0.0004708940187021226,4.381077320238409e-05,0.0003135021490678233,7.069040351954107e-05,2.383893971395709e-05,3.38784646301487e-05,4.82557570881007e-05
3262468.6910426994,0.022776295160041482,0.009165216190502496,0.0004845708284798658,4.4576347924501216e-05,0.00031834423444458487,7.183237394123716e-05,2.390167005665967e-05,3.433803155610492e-05,4.8542120522663996e-05
3268402.136319459,0.022763823874653377,0.009220461494587811,0.0004982431081779146,4.5342428787496666e-05,0.00032319879177829686,7.297390048753412e-05,2.396418765670666e-05,3.480106662770116e-05,4.883049569143184e-05
3274346.3727412573,0.022751170092757327,0.009275740044013983,0.0005119093803358604,4.61087641126014e-05,0.00032806395360565426,7.411454172147889e-05,2.4026264472988238e-05,3.526737372849069e-05,4.9120484245066474e-05
3280301.4199339426,0.02273822137314937,0.009331013579077603,0.0005255685497781096,4.6875216111238227e-05,0.00033293878197072826,7.525405137103835e-05,2.4087786715671644e-05,3.5736871258769854e-05,4.941190024792988e-05
3286267.2975590276,0.022725295443815973,0.00938638425385262,0.0005392209089073957,4.764205412014046e-05,0.0003378256562172159,7.639288101731021e-05,2.4149048085188533e-05,3.620988537670616e-05,4.970531476678862e-05
3292244.0253138053,0.022712642532840235,0.009441932159207963,0.0005528665209202652,4.840948306388649e-05,0.0003427264333469534,7.753137174401192e-05,2.4210278238663423e-05,3.668667846693083e-05,5.0001180167643226e-05
3298231.622931392,0.0227002959376083,0.009497666537048395,0.0005665047342775252,4.917750186704683e-05,0.00034764129511118114,7.866951141487318e-05,2.427150120599577e-05,3.7167307558799316e-05,5.029956717621561e-05
3304230.1101807714,0.02268822483295748,0.009553575668121312,0.0005801346790002412,4.994604823236133e-05,0.0003525699269396773,7.980718286422004e-05,2.433268017201282e-05,3.765176911073755e-05,5.060043376115538e-05
3310239.5068669086,0.022676310575092777,0.009609619135538117,0.0005937551895890327,5.0714976184229035e-05,0.00035751133510189054,8.094412539951646e-05,2.4393695023962043e-05,3.813997655995119e-05,5.090358343861099e-05
3316259.832830761,0.02266428032825436,0.009665706155221387,0.0006073645893046663,5.148399317619681e-05,0.00036246333460370384,8.207982698504533e-05,2.4454279463051824e-05,3.863169743619337e-05,5.120854848147595e-05
3322291.107949391,0.022651938044943674,0.009721770984961766,0.0006209614404042145,5.225287893567754e-05,0.0003674243312303834,8.321389940369069e-05,2.4514239853249674e-05,3.912677221281349e-05,5.1514996354990464e-05
3328333.3521360112,0.02263939911308956,0.009777849530637372,0.0006345453062882745,5.302170778297945e-05,0.0003723951318805453,8.434645937467808e-05,2.457367754443318e-05,3.9625336632174434e-05,5.1823142604729154e-05
3334386.5853400296,0.02262798510291006,0.00983077915762097,0.0006473089894103141,5.3745167862206104e-05,0.0003770828813314641,8.54109957737732e-05,2.4629617865406087e-05,4.0097921797569474e-05,5.211546471967555e-05
3341272.165296837,0.022616593694312234,0.009886911064075939,0.0006607632071698447,5.450913329268064e-05,0.00038204510030846934,8.653383344642585e-05,2.4688895244636373e-05,4.0600943623132145e-05,5.242713587070545e-05
